"SOURCE_Block","Source_File","Physics_Terms","Category","Integration_Date","Status"
"SOURCE1","source4.cpp","14","Foundation Physics","2025-11-17","COMPLETE"
"SOURCE2","source5.cpp","16","Resonance & Vacuum","2025-11-17","COMPLETE"
"SOURCE3","source6.cpp","6","Unified Field","2025-11-10","COMPLETE"
"SOURCE4","source7.cpp","7","Resonance Variants","2025-11-17","COMPLETE"
"SOURCE5","source10.cpp","7","UQFF Core","2025-11-17","COMPLETE"
"SOURCE6","source13.cpp","10","Magnetar SGR 1745-2900","2025-11-17","COMPLETE"
"SOURCE7","source14.cpp","9","Magnetar SGR 0501+4516","2025-11-17","COMPLETE"
"SOURCE8","source15.cpp","8","Sgr A* SMBH","2025-11-17","COMPLETE"
"SOURCE9","source16.cpp","9","NGC 2014/2020 Starbirth","2025-11-17","COMPLETE"
"SOURCE10","source17.cpp","9","Westerlund 2","2025-11-17","COMPLETE"
"SOURCE11","source18.cpp","10","Eagle Nebula","2025-11-17","COMPLETE"
"SOURCE12","source19.cpp","9","Einstein Ring","2025-11-17","COMPLETE"
"SOURCE13","source20.cpp","4","NGC 2525","2025-11-10","COMPLETE"
"SOURCE14","source21.cpp","10","NGC 3603","2025-11-17","COMPLETE"
"SOURCE15","source22.cpp","10","Bubble Nebula NGC 7635","2025-11-17","COMPLETE"
"SOURCE16","source23.cpp","10","Antennae Galaxies","2025-11-17","COMPLETE"
"SOURCE17","source24.cpp","10","Horsehead Nebula","2025-11-17","COMPLETE"
"SOURCE18","source25.cpp","11","NGC 1275 Perseus A","2025-11-17","COMPLETE"
"SOURCE19","source26.cpp","10","Hubble Ultra Deep Field","2025-11-17","COMPLETE"
"SOURCE20","source27.cpp","9","NGC 1792","2025-11-17","COMPLETE"
"SOURCE21","source28.cpp","9","Andromeda M31","2025-11-17","COMPLETE"
"SOURCE22","source29.cpp","10","Sombrero M104","2025-11-17","COMPLETE"
"SOURCE23","source30.cpp","10","Saturn","2025-11-17","COMPLETE"
"SOURCE24","source31.cpp","10","M16 Eagle Nebula","2025-11-17","COMPLETE"
"SOURCE25","source32.cpp","4","Crab Nebula","2025-11-10","COMPLETE"
"SOURCE26","source33.cpp","3","SGR 1745","2025-11-10","COMPLETE"
"SOURCE27","source34.cpp","5","SGR 1745 Frequency","2025-11-17","COMPLETE"
"SOURCE28","source35.cpp","5","Sgr A* Frequency","2025-11-17","COMPLETE"
"SOURCE29","source54.cpp","10","Young Stars","2025-11-17","COMPLETE"
"SOURCE30","source56.cpp","11","Big Bang","2025-11-17","COMPLETE"
"SOURCE31","source70.cpp","11","M51 Whirlpool","2025-11-17","COMPLETE"
"SOURCE32","source71.cpp","11","NGC 1316 Fornax A","2025-11-17","COMPLETE"
"SOURCE33","source80.cpp","9","SMBH Binary","2025-11-17","COMPLETE"
"SOURCE34","source90.cpp","4","Background Aether","2025-11-17","COMPLETE"
"SOURCE35","source100.cpp","8","Heaviside Fraction","2025-11-17","COMPLETE"
"SOURCE36-42","Various","Reserved","Parameter Modules","2025-11-17","PLACEHOLDER"
"SOURCE43","Source154.cpp","16","Nuclear & Solar Physics","2025-11-17","COMPLETE"
"SOURCE44-110","Various","66","Parameter/Object Modules","2025-11-17","COMPLETE"
"SOURCE111","Source168.cpp","Various","Advanced Module","2025-11-17","COMPLETE"
"SOURCE112","Source169.cpp","Various","Advanced Module","2025-11-17","COMPLETE"
"SOURCE113","Source170.cpp","Various","Advanced Module","2025-11-17","COMPLETE"
"SOURCE114","Reserved","Reserved","Reserved","2025-11-17","RESERVED"
"SOURCE115","source172.cpp","2","19-System 26D Polynomial","2025-11-18","COMPLETE"
"SOURCE116","source173.cpp","3","Wolfram Hypergraph + UQFF","2025-11-18","COMPLETE"
